year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
2017,4,6,12,"10,4","74,3",1,4,0,0,7,3,1,1,DIHN,,0,270,4,"7,7",,97,3,1,"1007,4",8,"0,7",0,30,0,"25,5",,"23,9",3,31,6,6,6,,3,0,0,,4,1,34,5,1,,257,4,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NECB7R,3,0,1,0,1,6/04/2017 12:00:00
2017,4,2,12,"43,8","-18,6",1,4,0,0,1,2,,1,DKQH,,0,190,3,"10,3",,97,2,2,1018,0,0,0,15,0,"13,3",,"12,1",0,"13,5",8,8,5,,5,A,A,,2,"0,5",20,6,"1,5",,176,38,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NDUBIO,3,0,1,0,1,2/04/2017 12:00:00
2017,5,3,6,"44,1","-159,6",1,4,0,0,2,4,,1,DNDD,,0,300,4,"14,4",,97,2,2,1012,4,0,0,7,0,"5,5",,"3,5",1,10,6,5,4,,5,7,A,,5,3,30,9,3,,162,49,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NHRHOG,3,0,1,0,1,3/05/2017 6:00:00
2017,6,2,18,"31,3","126,1",1,4,0,0,1,3,,1,DNDD,,0,360,4,"8,7",,97,18,0,1005,4,0,0,20,0,17,,"14,9",1,23,4,2,5,,5,4,5,,3,1,18,3,1,,190,16,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NLOMUF,3,0,1,0,1,2/06/2017 18:00:00
2017,7,7,9,"12,9","74,4",1,4,0,0,4,5,,1,DNDD,,0,290,4,"10,3",,96,10,2,"1008,5",4,0,0,"28,5",0,24,,"22,2",1,29,6,3,6,,4,7,A,,3,1,33,4,3,,257,24,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NQ6LX4,3,0,1,0,1,7/07/2017 9:00:00
2017,6,13,10,"23,7","118,2",1,4,0,0,5,3,,1,DNDD,,0,240,4,"11,3",,96,81,2,1007,5,1,0,26,0,25,,"24,6",1,26,8,8,7,,2,A,A,,3,2,5,7,2,,225,38,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NN2MU6,3,0,1,0,1,13/06/2017 10:00:00
2017,3,25,6,"6,6","78,2",1,4,0,0,3,4,1,1,DPCK,,0,20,4,"2,1",,98,1,2,1013,4,0,0,30,0,"24,5",,"22,4",1,29,1,1,1,,5,0,0,,0,0,14,6,1,,293,68,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NCT1MG,3,0,1,0,1,25/03/2017 6:00:00
2017,6,20,3,"42,4","164,9",1,4,0,0,2,5,1,1,DPCK,,0,160,4,"8,7",,92,45,4,1017,4,0,0,9,0,9,,9,1,8,9,9,A,,A,A,A,,3,"1,5",7,8,3,,158,24,992,114,5,1,2,,,,,,,2,111113,11111111111111,,,,NNXYRQ,3,0,1,0,1,20/06/2017 3:00:00
2017,3,1,12,"41,1","-46,9",1,4,0,0,2,5,1,1,DPCK,,0,320,4,"9,3",,98,3,0,"1030,5",2,"0,5",0,"4,5",0,"3,5",,"2,3",1,8,6,6,8,,5,5,0,,5,1,29,6,"1,5",,173,16,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,N9TCI8,3,0,1,0,1,1/03/2017 12:00:00
2017,7,6,20,"50,9","-44,2",1,4,0,0,4,2,,1,GHJV,,0,230,4,"9,8",,99,2,1,1019,0,"0,3",0,"10,4",0,"9,2",,"7,9",0,"10,1",3,3,5,,5,0,0,,3,"0,5",2,7,3,,137,4,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NQ41TT,3,0,1,0,1,6/07/2017 20:00:00
2017,3,5,7,"33,7","-25,6",1,4,0,0,7,2,,1,GHJV,,0,260,4,"6,2",,98,1,0,"1026,3",4,0,0,"18,1",0,"14,8",,"12,2",0,"18,7",3,2,8,,5,6,0,,3,1,32,8,"2,5",,211,35,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NAAO8D,3,0,1,0,1,5/03/2017 7:00:00
2017,6,14,2,"60,2","-2,5",1,4,0,0,7,1,,1,GHJV,,0,220,3,"7,7",,97,2,2,1013,2,"0,3",0,11,0,10,,9,0,"11,5",7,7,7,,2,7,8,,4,"0,5",22,9,1,,105,2,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NN5PJG,3,0,1,0,1,14/06/2017 2:00:00
2017,8,28,17,"39,5","-58,4",1,4,0,0,3,2,1,1,GHJV,,0,160,4,"14,4",,98,50,5,"1015,6",7,"1,2",0,"23,8",0,"21,2",,"19,8",0,"26,4",8,6,7,,2,2,8,,5,"2,5",4,6,"2,5",,208,98,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NWU8LG,3,0,1,0,1,28/08/2017 17:00:00
2017,2,9,8,"-23,3","167,8",1,4,0,0,8,4,,1,GRFP,,0,140,4,17,,97,1,8,"996,5",8,"1,3",0,25,0,23,,22,1,26,7,,7,,2,0,0,,3,"4,5",12,6,"4,5",,410,37,992,114,5,1,2,,,,,,,1,111341,11111111111111,,,,N79WNR,3,0,1,0,1,9/02/2017 8:00:00
2017,1,26,2,"11,9","-127,5",1,4,0,0,6,4,,1,H3AJ,,0,70,4,"2,6",,96,18,1,1012,1,1,0,27,0,24,,"22,6",3,27,4,3,5,,5,6,8,,4,2,2,4,2,,273,17,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,N5H4WI,3,0,1,0,1,26/01/2017 2:00:00
